Email                     Algorithm Classification  Given Classification
./data/spam/197.words               Spam                      Spam           
./data/spam/27.words                Spam                      Spam           
./data/spam/566.words               Spam                      Spam           
./data/spam/512.words               Spam                      Spam           
./data/spam/286.words               Spam                      Spam           
./data/spam/425.words               Spam                      Spam           
./data/spam/103.words               Spam                      Spam           
./data/spam/557.words               Spam                      Spam           
./data/spam/719.words               Spam                      Spam           
./data/spam/788.words               Spam                      Spam           
./data/spam/734.words               Spam                      Spam           
./data/spam/22.words                Spam                      Spam           
./data/spam/154.words               Spam                      Spam           
./data/spam/759.words               Spam                      Spam           
./data/spam/948.words               Spam                      Spam           
./data/spam/333.words               Spam                      Spam           
./data/spam/805.words               Spam                      Spam           
./data/spam/907.words               Spam                      Spam           
./data/spam/901.words               Spam                      Spam           
./data/spam/59.words                Spam                      Spam           
./data/spam/489.words               Spam                      Spam           
./data/spam/28.words                Spam                      Spam           
./data/spam/741.words               Spam                      Spam           
./data/spam/469.words               Spam                      Spam           
./data/spam/136.words               Spam                      Spam           
./data/spam/731.words               Spam                      Spam           
./data/spam/227.words               Spam                      Spam           
./data/spam/406.words               Spam                      Spam           
./data/spam/727.words               Spam                      Spam           
./data/spam/964.words               Spam                      Spam           
./data/spam/975.words               Spam                      Spam           
./data/spam/261.words               Spam                      Spam           
./data/spam/281.words               Spam                      Spam           
./data/spam/423.words               Spam                      Spam           
./data/spam/633.words               Spam                      Spam           
./data/spam/2.words                 Spam                      Spam           
./data/spam/578.words               Spam                      Spam           
./data/spam/41.words                Spam                      Spam           
./data/spam/696.words               Spam                      Spam           
./data/spam/1000.words              Spam                      Spam           
./data/spam/983.words               Spam                      Spam           
./data/spam/380.words               Spam                      Spam           
./data/spam/857.words               Spam                      Spam           
./data/spam/543.words               Spam                      Spam           
./data/spam/466.words               Spam                      Spam           
./data/spam/924.words               Spam                      Spam           
./data/spam/421.words               Spam                      Spam           
./data/spam/827.words               Spam                      Spam           
./data/spam/60.words                Spam                      Spam           
./data/spam/334.words               Spam                      Spam           
./data/spam/940.words               Spam                      Spam           
./data/spam/670.words               Spam                      Spam           
./data/spam/330.words               Spam                      Spam           
./data/spam/575.words               Spam                      Spam           
./data/spam/326.words               Spam                      Spam           
./data/spam/81.words                Spam                      Spam           
./data/spam/999.words               Spam                      Spam           
./data/spam/746.words               Spam                      Spam           
./data/spam/919.words               Spam                      Spam           
./data/spam/531.words               Spam                      Spam           
./data/spam/132.words               Spam                      Spam           
./data/spam/739.words               Spam                      Spam           
./data/spam/133.words               Spam                      Spam           
./data/spam/921.words               Spam                      Spam           
./data/spam/722.words               Spam                      Spam           
./data/spam/954.words               Spam                      Spam           
./data/spam/410.words               Spam                      Spam           
./data/spam/989.words               Spam                      Spam           
./data/spam/167.words               Spam                      Spam           
./data/spam/515.words               Spam                      Spam           
./data/spam/814.words               Spam                      Spam           
./data/spam/645.words               Spam                      Spam           
./data/spam/558.words               Spam                      Spam           
./data/spam/600.words               Spam                      Spam           
./data/spam/443.words               Spam                      Spam           
./data/spam/529.words               Spam                      Spam           
./data/spam/404.words               Spam                      Spam           
./data/spam/147.words               Spam                      Spam           
./data/spam/385.words               Spam                      Spam           
./data/spam/793.words               Spam                      Spam           
./data/spam/641.words               Spam                      Spam           
./data/spam/63.words                Spam                      Spam           
./data/spam/117.words               Spam                      Spam           
./data/spam/961.words               Spam                      Spam           
./data/spam/802.words               Spam                      Spam           
./data/spam/848.words               Spam                      Spam           
./data/spam/653.words               Spam                      Spam           
./data/spam/83.words                Spam                      Spam           
./data/spam/62.words                Spam                      Spam           
./data/spam/416.words               Spam                      Spam           
./data/spam/862.words               Spam                      Spam           
./data/spam/260.words               Spam                      Spam           
./data/spam/373.words               Spam                      Spam           
./data/spam/920.words               Spam                      Spam           
./data/spam/262.words               Spam                      Spam           
./data/spam/979.words               Spam                      Spam           
./data/spam/769.words               Spam                      Spam           
./data/spam/559.words               Spam                      Spam           
./data/spam/242.words               Spam                      Spam           
./data/spam/183.words               Spam                      Spam           
./data/spam/271.words               Spam                      Spam           
./data/spam/12.words                Spam                      Spam           
./data/spam/10.words                Spam                      Spam           
./data/spam/460.words               Spam                      Spam           
./data/spam/755.words               Spam                      Spam           
./data/spam/222.words               Spam                      Spam           
./data/spam/980.words               Spam                      Spam           
./data/spam/289.words               Spam                      Spam           
./data/spam/591.words               Spam                      Spam           
./data/spam/595.words               Spam                      Spam           
./data/spam/92.words                Spam                      Spam           
./data/spam/472.words               Spam                      Spam           
./data/spam/9.words                 Spam                      Spam           
./data/spam/318.words               Spam                      Spam           
./data/spam/131.words               Spam                      Spam           
./data/spam/479.words               Spam                      Spam           
./data/spam/603.words               Spam                      Spam           
./data/spam/821.words               Spam                      Spam           
./data/spam/6.words                 Spam                      Spam           
./data/spam/915.words               Spam                      Spam           
./data/spam/941.words               Spam                      Spam           
./data/spam/998.words               Spam                      Spam           
./data/spam/392.words               Spam                      Spam           
./data/spam/672.words               Spam                      Spam           
./data/spam/379.words               Spam                      Spam           
./data/spam/795.words               Spam                      Spam           
./data/spam/504.words               Spam                      Spam           
./data/spam/790.words               Spam                      Spam           
./data/spam/411.words               Spam                      Spam           
./data/spam/77.words                Spam                      Spam           
./data/spam/345.words               Spam                      Spam           
./data/spam/172.words               Spam                      Spam           
./data/spam/611.words               Spam                      Spam           
./data/spam/490.words               Spam                      Spam           
./data/spam/853.words               Spam                      Spam           
./data/spam/31.words                Spam                      Spam           
./data/spam/766.words               Spam                      Spam           
./data/spam/32.words                Spam                      Spam           
./data/spam/342.words               Spam                      Spam           
./data/spam/352.words               Spam                      Spam           
./data/spam/773.words               Spam                      Spam           
./data/spam/934.words               Spam                      Spam           
./data/spam/666.words               Spam                      Spam           
./data/spam/357.words               Spam                      Spam           
./data/spam/58.words                Spam                      Spam           
./data/spam/813.words               Spam                      Spam           
./data/spam/691.words               Spam                      Spam           
./data/spam/120.words               Spam                      Spam           
./data/spam/571.words               Spam                      Spam           
./data/spam/650.words               Spam                      Spam           
./data/spam/15.words                Spam                      Spam           
./data/spam/786.words               Spam                      Spam           
./data/spam/589.words               Spam                      Spam           
./data/spam/168.words               Spam                      Spam           
./data/spam/806.words               Spam                      Spam           
./data/spam/439.words               Spam                      Spam           
./data/spam/323.words               Spam                      Spam           
./data/spam/279.words               Spam                      Spam           
./data/spam/573.words               Spam                      Spam           
./data/spam/565.words               Spam                      Spam           
./data/spam/518.words               Spam                      Spam           
./data/spam/918.words               Spam                      Spam           
./data/spam/955.words               Spam                      Spam           
./data/spam/67.words                Spam                      Spam           
./data/spam/35.words                Spam                      Spam           
./data/spam/43.words                Spam                      Spam           
./data/spam/257.words               Spam                      Spam           
./data/spam/615.words               Spam                      Spam           
./data/spam/750.words               Spam                      Spam           
./data/spam/47.words                Spam                      Spam           
./data/spam/76.words                Spam                      Spam           
./data/spam/748.words               Spam                      Spam           
./data/spam/828.words               Spam                      Spam           
./data/spam/537.words               Spam                      Spam           
./data/spam/837.words               Spam                      Spam           
./data/spam/622.words               Spam                      Spam           
./data/spam/112.words               Spam                      Spam           
./data/spam/430.words               Spam                      Spam           
./data/spam/970.words               Spam                      Spam           
./data/spam/354.words               Spam                      Spam           
./data/spam/597.words               Spam                      Spam           
./data/spam/601.words               Spam                      Spam           
./data/spam/228.words               Spam                      Spam           
./data/spam/938.words               Spam                      Spam           
./data/spam/115.words               Spam                      Spam           
./data/spam/374.words               Spam                      Spam           
./data/spam/319.words               Spam                      Spam           
./data/spam/950.words               Spam                      Spam           
./data/spam/791.words               Spam                      Spam           
./data/spam/25.words                Spam                      Spam           
./data/spam/420.words               Spam                      Spam           
./data/spam/815.words               Spam                      Spam           
./data/spam/451.words               Spam                      Spam           
./data/spam/432.words               Spam                      Spam           
./data/spam/655.words               Spam                      Spam           
./data/spam/563.words               Spam                      Spam           
./data/spam/68.words                Spam                      Spam           
./data/spam/541.words               Spam                      Spam           
./data/spam/458.words               Spam                      Spam           
./data/spam/378.words               Spam                      Spam           
./data/spam/971.words               Spam                      Spam           
./data/spam/130.words               Spam                      Spam           
./data/spam/129.words               Spam                      Spam           
./data/spam/160.words               Spam                      Spam           
./data/spam/732.words               Spam                      Spam           
./data/spam/391.words               Spam                      Spam           
./data/spam/152.words               Spam                      Spam           
./data/spam/527.words               Spam                      Spam           
./data/spam/45.words                Spam                      Spam           
./data/spam/310.words               Spam                      Spam           
./data/spam/632.words               Spam                      Spam           
./data/spam/648.words               Spam                      Spam           
./data/spam/141.words               Spam                      Spam           
./data/spam/893.words               Spam                      Spam           
./data/spam/798.words               Spam                      Spam           
./data/spam/930.words               Spam                      Spam           
./data/spam/359.words               Spam                      Spam           
./data/spam/205.words               Spam                      Spam           
./data/spam/517.words               Spam                      Spam           
./data/spam/704.words               Spam                      Spam           
./data/spam/896.words               Spam                      Spam           
./data/spam/20.words                Spam                      Spam           
./data/spam/106.words               Spam                      Spam           
./data/spam/383.words               Spam                      Spam           
./data/spam/251.words               Spam                      Spam           
./data/spam/419.words               Spam                      Spam           
./data/spam/369.words               Spam                      Spam           
./data/spam/295.words               Spam                      Spam           
./data/spam/637.words               Spam                      Spam           
./data/spam/609.words               Spam                      Spam           
./data/spam/842.words               Spam                      Spam           
./data/spam/78.words                Spam                      Spam           
./data/spam/292.words               Spam                      Spam           
./data/spam/166.words               Spam                      Spam           
./data/spam/214.words               Spam                      Spam           
./data/spam/520.words               Spam                      Spam           
./data/spam/91.words                Spam                      Spam           
./data/spam/963.words               Spam                      Spam           
./data/spam/899.words               Spam                      Spam           
./data/spam/763.words               Spam                      Spam           
./data/spam/916.words               Spam                      Spam           
./data/spam/249.words               Spam                      Spam           
./data/spam/652.words               Spam                      Spam           
./data/spam/381.words               Spam                      Spam           
./data/spam/996.words               Spam                      Spam           
./data/spam/657.words               Spam                      Spam           
./data/spam/347.words               Spam                      Spam           
./data/spam/225.words               Spam                      Spam           
./data/spam/174.words               Spam                      Spam           
./data/spam/771.words               Spam                      Spam           
./data/spam/694.words               Spam                      Spam           
./data/spam/53.words                Spam                      Spam           
./data/spam/418.words               Spam                      Spam           
./data/spam/883.words               Spam                      Spam           
./data/spam/234.words               Spam                      Spam           
./data/spam/781.words               Spam                      Spam           
./data/spam/426.words               Spam                      Spam           
./data/spam/356.words               Spam                      Spam           
./data/spam/909.words               Spam                      Spam           
./data/spam/717.words               Spam                      Spam           
./data/spam/224.words               Spam                      Spam           
./data/spam/762.words               Spam                      Spam           
./data/spam/604.words               Spam                      Spam           
./data/spam/113.words               Spam                      Spam           
./data/spam/852.words               Spam                      Spam           
./data/spam/303.words               Spam                      Spam           
./data/spam/296.words               Spam                      Spam           
./data/spam/198.words               Spam                      Spam           
./data/spam/424.words               Spam                      Spam           
./data/spam/779.words               Spam                      Spam           
./data/spam/151.words               Spam                      Spam           
./data/spam/656.words               Spam                      Spam           
./data/spam/844.words               Spam                      Spam           
./data/spam/376.words               Spam                      Spam           
./data/spam/997.words               Spam                      Spam           
./data/spam/729.words               Spam                      Spam           
./data/spam/332.words               Spam                      Spam           
./data/spam/54.words                Spam                      Spam           
./data/spam/454.words               Spam                      Spam           
./data/spam/157.words               Spam                      Spam           
./data/spam/321.words               Spam                      Spam           
./data/spam/316.words               Spam                      Spam           
./data/spam/712.words               Spam                      Spam           
./data/spam/457.words               Spam                      Spam           
./data/spam/876.words               Spam                      Spam           
./data/spam/349.words               Spam                      Spam           
./data/spam/913.words               Spam                      Spam           
./data/spam/314.words               Spam                      Spam           
./data/spam/701.words               Spam                      Spam           
./data/spam/245.words               Spam                      Spam           
./data/spam/801.words               Spam                      Spam           
./data/spam/305.words               Spam                      Spam           
./data/spam/219.words               Spam                      Spam           
./data/spam/720.words               Spam                      Spam           
./data/spam/797.words               Spam                      Spam           
./data/spam/889.words               Ham                       Spam           
./data/spam/276.words               Spam                      Spam           
./data/spam/792.words               Spam                      Spam           
./data/spam/985.words               Spam                      Spam           
./data/spam/444.words               Spam                      Spam           
./data/spam/556.words               Spam                      Spam           
./data/spam/526.words               Spam                      Spam           
./data/spam/275.words               Spam                      Spam           
./data/spam/572.words               Spam                      Spam           
./data/spam/230.words               Spam                      Spam           
./data/spam/144.words               Spam                      Spam           
./data/spam/812.words               Spam                      Spam           
./data/spam/125.words               Spam                      Spam           
./data/spam/663.words               Spam                      Spam           
./data/spam/583.words               Spam                      Spam           
./data/spam/614.words               Spam                      Spam           
./data/spam/336.words               Spam                      Spam           
./data/spam/299.words               Spam                      Spam           
./data/spam/811.words               Spam                      Spam           
./data/spam/121.words               Spam                      Spam           
./data/spam/829.words               Spam                      Spam           
./data/spam/109.words               Spam                      Spam           
./data/spam/503.words               Spam                      Spam           
./data/spam/387.words               Spam                      Spam           
./data/spam/695.words               Spam                      Spam           
./data/spam/706.words               Spam                      Spam           
./data/spam/250.words               Spam                      Spam           
./data/spam/765.words               Spam                      Spam           
./data/spam/676.words               Spam                      Spam           
./data/spam/939.words               Spam                      Spam           
./data/spam/351.words               Spam                      Spam           
./data/spam/770.words               Spam                      Spam           
./data/spam/365.words               Spam                      Spam           
./data/spam/244.words               Spam                      Spam           
./data/spam/984.words               Spam                      Spam           
./data/spam/995.words               Spam                      Spam           
./data/spam/325.words               Spam                      Spam           
./data/spam/180.words               Spam                      Spam           
./data/spam/869.words               Spam                      Spam           
./data/spam/659.words               Spam                      Spam           
./data/spam/900.words               Spam                      Spam           
./data/spam/818.words               Spam                      Spam           
./data/spam/960.words               Spam                      Spam           
./data/spam/586.words               Spam                      Spam           
./data/spam/395.words               Spam                      Spam           
./data/spam/715.words               Spam                      Spam           
./data/spam/193.words               Spam                      Spam           
./data/spam/757.words               Spam                      Spam           
./data/spam/847.words               Spam                      Spam           
./data/spam/449.words               Spam                      Spam           
./data/spam/87.words                Spam                      Spam           
./data/spam/539.words               Spam                      Spam           
./data/spam/116.words               Spam                      Spam           
./data/spam/718.words               Spam                      Spam           
./data/spam/231.words               Spam                      Spam           
./data/spam/497.words               Spam                      Spam           
./data/spam/162.words               Ham                       Spam           
./data/spam/752.words               Spam                      Spam           
./data/spam/933.words               Spam                      Spam           
./data/spam/169.words               Spam                      Spam           
./data/spam/823.words               Spam                      Spam           
./data/spam/945.words               Spam                      Spam           
./data/spam/535.words               Spam                      Spam           
./data/spam/456.words               Spam                      Spam           
./data/spam/355.words               Ham                       Spam           
./data/spam/588.words               Spam                      Spam           
./data/spam/880.words               Spam                      Spam           
./data/spam/212.words               Spam                      Spam           
./data/spam/986.words               Spam                      Spam           
./data/spam/107.words               Spam                      Spam           
./data/spam/638.words               Spam                      Spam           
./data/spam/574.words               Spam                      Spam           
./data/spam/447.words               Spam                      Spam           
./data/spam/508.words               Spam                      Spam           
./data/spam/256.words               Spam                      Spam           
./data/spam/208.words               Spam                      Spam           
./data/spam/452.words               Spam                      Spam           
./data/spam/910.words               Spam                      Spam           
./data/spam/865.words               Spam                      Spam           
./data/spam/992.words               Spam                      Spam           
./data/spam/846.words               Spam                      Spam           
./data/spam/127.words               Spam                      Spam           
./data/spam/859.words               Spam                      Spam           
./data/spam/146.words               Spam                      Spam           
./data/spam/744.words               Spam                      Spam           
./data/spam/108.words               Spam                      Spam           
./data/spam/407.words               Spam                      Spam           
./data/spam/478.words               Spam                      Spam           
./data/spam/879.words               Spam                      Spam           
./data/spam/371.words               Spam                      Spam           
./data/spam/367.words               Spam                      Spam           
./data/spam/831.words               Spam                      Spam           
./data/spam/665.words               Spam                      Spam           
./data/spam/192.words               Spam                      Spam           
./data/spam/122.words               Spam                      Spam           
./data/spam/540.words               Spam                      Spam           
./data/spam/579.words               Spam                      Spam           
./data/spam/787.words               Spam                      Spam           
./data/spam/561.words               Spam                      Spam           
./data/spam/976.words               Ham                       Spam           
./data/spam/716.words               Spam                      Spam           
./data/spam/981.words               Spam                      Spam           
./data/spam/671.words               Spam                      Spam           
./data/spam/73.words                Spam                      Spam           
./data/spam/98.words                Spam                      Spam           
./data/spam/700.words               Spam                      Spam           
./data/spam/40.words                Spam                      Spam           
./data/spam/80.words                Spam                      Spam           
./data/spam/506.words               Spam                      Spam           
./data/spam/487.words               Spam                      Spam           
./data/ham/925.words                Ham                       Ham            
./data/ham/114.words                Ham                       Ham            
./data/ham/897.words                Ham                       Ham            
./data/ham/684.words                Ham                       Ham            
./data/ham/440.words                Ham                       Ham            
./data/ham/277.words                Ham                       Ham            
./data/ham/702.words                Ham                       Ham            
./data/ham/931.words                Ham                       Ham            
./data/ham/217.words                Ham                       Ham            
./data/ham/546.words                Ham                       Ham            
./data/ham/259.words                Ham                       Ham            
./data/ham/568.words                Ham                       Ham            
./data/ham/170.words                Ham                       Ham            
./data/ham/298.words                Ham                       Ham            
./data/ham/968.words                Ham                       Ham            
./data/ham/758.words                Ham                       Ham            
./data/ham/868.words                Ham                       Ham            
./data/ham/155.words                Ham                       Ham            
./data/ham/530.words                Ham                       Ham            
./data/ham/710.words                Ham                       Ham            
./data/ham/851.words                Ham                       Ham            
./data/ham/548.words                Ham                       Ham            
./data/ham/776.words                Ham                       Ham            
./data/ham/401.words                Ham                       Ham            
./data/ham/596.words                Ham                       Ham            
./data/ham/66.words                 Ham                       Ham            
./data/ham/703.words                Ham                       Ham            
./data/ham/344.words                Ham                       Ham            
./data/ham/343.words                Ham                       Ham            
./data/ham/320.words                Ham                       Ham            
./data/ham/473.words                Ham                       Ham            
./data/ham/254.words                Ham                       Ham            
./data/ham/135.words                Ham                       Ham            
./data/ham/592.words                Ham                       Ham            
./data/ham/329.words                Ham                       Ham            
./data/ham/150.words                Ham                       Ham            
./data/ham/966.words                Ham                       Ham            
./data/ham/72.words                 Ham                       Ham            
./data/ham/898.words                Ham                       Ham            
./data/ham/450.words                Ham                       Ham            
./data/ham/547.words                Ham                       Ham            
./data/ham/567.words                Ham                       Ham            
./data/ham/353.words                Ham                       Ham            
./data/ham/428.words                Ham                       Ham            
./data/ham/267.words                Ham                       Ham            
./data/ham/187.words                Ham                       Ham            
./data/ham/494.words                Ham                       Ham            
./data/ham/782.words                Ham                       Ham            
./data/ham/760.words                Ham                       Ham            
./data/ham/570.words                Ham                       Ham            
./data/ham/538.words                Ham                       Ham            
./data/ham/236.words                Ham                       Ham            
./data/ham/854.words                Ham                       Ham            
./data/ham/182.words                Ham                       Ham            
./data/ham/651.words                Ham                       Ham            
./data/ham/483.words                Ham                       Ham            
./data/ham/845.words                Ham                       Ham            
./data/ham/488.words                Ham                       Ham            
./data/ham/427.words                Ham                       Ham            
./data/ham/884.words                Ham                       Ham            
./data/ham/453.words                Ham                       Ham            
./data/ham/544.words                Ham                       Ham            
./data/ham/110.words                Ham                       Ham            
./data/ham/190.words                Ham                       Ham            
./data/ham/784.words                Ham                       Ham            
./data/ham/364.words                Ham                       Ham            
./data/ham/207.words                Ham                       Ham            
./data/ham/737.words                Ham                       Ham            
./data/ham/972.words                Ham                       Ham            
./data/ham/255.words                Ham                       Ham            
./data/ham/102.words                Ham                       Ham            
./data/ham/753.words                Ham                       Ham            
./data/ham/327.words                Ham                       Ham            
./data/ham/513.words                Ham                       Ham            
./data/ham/885.words                Ham                       Ham            
./data/ham/922.words                Ham                       Ham            
./data/ham/459.words                Ham                       Ham            
./data/ham/824.words                Ham                       Ham            
./data/ham/698.words                Ham                       Ham            
./data/ham/923.words                Ham                       Ham            
./data/ham/312.words                Ham                       Ham            
./data/ham/372.words                Ham                       Ham            
./data/ham/590.words                Ham                       Ham            
./data/ham/99.words                 Ham                       Ham            
./data/ham/288.words                Ham                       Ham            
./data/ham/186.words                Ham                       Ham            
./data/ham/660.words                Ham                       Ham            
./data/ham/467.words                Ham                       Ham            
./data/ham/809.words                Ham                       Ham            
./data/ham/412.words                Ham                       Ham            
./data/ham/159.words                Ham                       Ham            
./data/ham/308.words                Ham                       Ham            
./data/ham/532.words                Ham                       Ham            
./data/ham/263.words                Ham                       Ham            
./data/ham/486.words                Ham                       Ham            
./data/ham/377.words                Ham                       Ham            
./data/ham/17.words                 Ham                       Ham            
./data/ham/740.words                Ham                       Ham            
./data/ham/683.words                Ham                       Ham            
./data/ham/293.words                Ham                       Ham            
./data/ham/282.words                Ham                       Ham            
./data/ham/608.words                Ham                       Ham            
./data/ham/285.words                Ham                       Ham            
./data/ham/627.words                Ham                       Ham            
./data/ham/178.words                Ham                       Ham            
./data/ham/926.words                Ham                       Ham            
./data/ham/639.words                Ham                       Ham            
./data/ham/358.words                Ham                       Ham            
./data/ham/265.words                Ham                       Ham            
./data/ham/635.words                Ham                       Ham            
./data/ham/826.words                Ham                       Ham            
./data/ham/581.words                Ham                       Ham            
./data/ham/177.words                Ham                       Ham            
./data/ham/235.words                Ham                       Ham            
./data/ham/335.words                Ham                       Ham            
./data/ham/871.words                Ham                       Ham            
./data/ham/184.words                Ham                       Ham            
./data/ham/393.words                Ham                       Ham            
./data/ham/140.words                Ham                       Ham            
./data/ham/772.words                Ham                       Ham            
./data/ham/474.words                Ham                       Ham            
./data/ham/216.words                Ham                       Ham            
./data/ham/21.words                 Ham                       Ham            
./data/ham/237.words                Ham                       Ham            
./data/ham/778.words                Ham                       Ham            
./data/ham/636.words                Ham                       Ham            
./data/ham/498.words                Ham                       Ham            
./data/ham/435.words                Ham                       Ham            
./data/ham/431.words                Ham                       Ham            
./data/ham/630.words                Ham                       Ham            
./data/ham/492.words                Ham                       Ham            
./data/ham/470.words                Ham                       Ham            
./data/ham/840.words                Ham                       Ham            
./data/ham/545.words                Ham                       Ham            
./data/ham/707.words                Ham                       Ham            
./data/ham/52.words                 Ham                       Ham            
./data/ham/936.words                Ham                       Ham            
./data/ham/839.words                Ham                       Ham            
./data/ham/956.words                Ham                       Ham            
./data/ham/1.words                  Ham                       Ham            
./data/ham/311.words                Ham                       Ham            
./data/ham/284.words                Ham                       Ham            
./data/ham/239.words                Ham                       Ham            
./data/ham/438.words                Ham                       Ham            
./data/ham/825.words                Ham                       Ham            
./data/ham/278.words                Ham                       Ham            
./data/ham/433.words                Ham                       Ham            
./data/ham/935.words                Ham                       Ham            
./data/ham/733.words                Ham                       Ham            
./data/ham/912.words                Ham                       Ham            
./data/ham/313.words                Ham                       Ham            
./data/ham/481.words                Ham                       Ham            
./data/ham/309.words                Ham                       Ham            
./data/ham/223.words                Ham                       Ham            
./data/ham/796.words                Ham                       Ham            
./data/ham/890.words                Ham                       Ham            
./data/ham/804.words                Ham                       Ham            
./data/ham/721.words                Ham                       Ham            
./data/ham/991.words                Ham                       Ham            
./data/ham/816.words                Ham                       Ham            
./data/ham/161.words                Ham                       Ham            
./data/ham/317.words                Ham                       Ham            
./data/ham/953.words                Ham                       Ham            
./data/ham/79.words                 Ham                       Ham            
./data/ham/754.words                Ham                       Ham            
./data/ham/341.words                Ham                       Ham            
./data/ham/644.words                Ham                       Ham            
./data/ham/101.words                Ham                       Ham            
./data/ham/874.words                Ham                       Ham            
./data/ham/176.words                Ham                       Ham            
./data/ham/4.words                  Ham                       Ham            
./data/ham/153.words                Ham                       Ham            
./data/ham/667.words                Ham                       Ham            
./data/ham/892.words                Ham                       Ham            
./data/ham/562.words                Ham                       Ham            
./data/ham/290.words                Ham                       Ham            
./data/ham/522.words                Ham                       Ham            
./data/ham/524.words                Ham                       Ham            
./data/ham/301.words                Ham                       Ham            
./data/ham/662.words                Ham                       Ham            
./data/ham/361.words                Ham                       Ham            
./data/ham/619.words                Ham                       Ham            
./data/ham/949.words                Ham                       Ham            
./data/ham/338.words                Ham                       Ham            
./data/ham/987.words                Ham                       Ham            
./data/ham/507.words                Ham                       Ham            
./data/ham/46.words                 Ham                       Ham            
./data/ham/94.words                 Ham                       Ham            
./data/ham/673.words                Ham                       Ham            
./data/ham/16.words                 Ham                       Ham            
./data/ham/525.words                Ham                       Ham            
./data/ham/988.words                Ham                       Ham            
./data/ham/297.words                Ham                       Ham            
./data/ham/958.words                Ham                       Ham            
./data/ham/902.words                Ham                       Ham            
./data/ham/764.words                Ham                       Ham            
./data/ham/158.words                Ham                       Ham            
